ticker,quarter,roa,log_assets,leverage,liquidity,pb_ratio,log_btc_price,log_hashrate,score_max,score_mean,score_count,confidence_max,confidence_mean
ARLP,2025q3,0.0327004295576068,21.79084865246647,0.013213374910301,32.48621808790647,1.5543636842521438,11.60540300025889,20.878149145429184,3.0,3.0,1,75.0,75.0
ARLP,2025q2,0.0464615877071741,21.777384816726105,0.012919567052316,0.0191688569849371,1.539671577161683,11.581614703698753,20.630242529336,1.0,1.0,1,10.0,10.0
ARLP,2025q1,0.0254873421101133,21.788919232944476,0.0127989637359249,0.0280125467877708,1.6024982453769725,11.37581934776722,20.58498849271612,3.0,1.5,2,100.0,97.5
ARLP,2024q4,0.0056006557534476,21.793386054213272,0.1669557880873743,0.0469734851992468,1.6123573072404973,11.446106158150634,20.581368295184088,3.0,1.5,2,100.0,85.0
ARLP,2024q3,0.0284551705987752,21.83254536114628,0.1624013537486152,0.0644517974403175,1.4270637113264797,11.095719198433985,20.339313709025863,3.0,1.5,2,100.0,87.5
ARLP,2024q2,0.0328164992109261,21.839372863022252,0.1631640389315762,0.0667234205911273,1.2466301268924302,11.007347216285629,20.297156010255385,3.0,1.0,3,100.0,90.0
ARLP,2024q1,0.0532934428534483,21.81040826419265,0.1499517665968594,0.0451674378503918,1.1323662766408118,11.166974103061063,20.204149649540128,0.0,0.0,2,100.0,100.0
ARLP,2023q4,0.0414011345468734,21.74874311587676,0.1258129138087222,0.021450452692666,1.2235350879131233,10.679843807151835,19.886508851853154,0.0,0.0,1,100.0,100.0
ARLP,2023q3,0.0546186071915796,21.75788736553957,0.1329650136582942,0.0700924400177538,1.0248848932808508,10.17400388305173,19.915364693433087,0.0,0.0,1,100.0,100.0
ARLP,2023q2,0.0609015320614517,21.74856988487242,0.1548966388480682,0.1021896789138085,1.0773980640366876,10.317803377242257,19.713569577581897,0.0,0.0,1,100.0,100.0
ARLP,2023q1,0.0685804209776418,21.748500297097458,0.1694223547385363,0.097300725423989,1.2182599000933123,10.24113980694813,19.609536843242825,0.0,0.0,2,100.0,100.0
ARLP,2022q4,0.078611198374206,21.72684227484521,0.1592014870853267,0.1085119945924169,1.31464723298697,9.713493436795847,19.328422930536,0.0,0.0,3,100.0,100.0
ARLP,2022q3,0.0669658490461315,21.64130743515915,0.1762699046191454,0.111193544432736,1.2919592512129023,9.857699602209362,19.27204351942077,0.0,0.0,2,100.0,100.0
ARLP,2022q2,0.0700877039213677,21.57050269547304,0.1902094599199122,0.0454694879244776,1.1266998207664225,9.937996702919657,19.18433948163684,0.0,0.0,1,100.0,100.0
ARLP,2022q1,0.017111748257844,21.52326856504688,0.2011846975148132,0.0575997721009711,0.9134813450790568,10.754888341531323,19.19533582947418,0.0,0.0,1,100.0,100.0
ARLP,2021q4,0.02400011855112,21.493099020823053,0.2086948910950511,0.0566836435575338,0.7876530445966744,10.74524588373798,18.782427416938297,0.0,0.0,1,100.0,100.0
ARLP,2021q3,0.0267792784932351,21.48825682122129,0.2131397526727858,0.0486794867320466,0.5452144884363364,10.621599503770025,18.625816095659847,0.0,0.0,2,100.0,97.5
ARLP,2021q2,0.0208152821561484,21.472563173224877,0.2358212877916609,0.0178438988557385,0.3855722689788738,10.447457871634285,18.306142659384605,0.0,0.0,1,100.0,100.0
ARLP,2021q1,0.0115043836406065,21.48928236573923,0.2593167470876449,0.0160112124508409,0.3651964201652959,10.929237170264072,18.91615936675834,0.0,0.0,1,100.0,100.0
