ticker,quarter,field,raw_value
SLNH,2013q2,total_debt (shortLongTermDebtTotal/longTermDebt/totalDebt),"{'shortLongTermDebtTotal': 'None', 'longTermDebt': 'None', 'totalDebt': None}"
SLNH,2013q1,total_debt (shortLongTermDebtTotal/longTermDebt/totalDebt),"{'shortLongTermDebtTotal': 'None', 'longTermDebt': 'None', 'totalDebt': None}"
SLNH,2012q4,total_debt (shortLongTermDebtTotal/longTermDebt/totalDebt),"{'shortLongTermDebtTotal': 'None', 'longTermDebt': 'None', 'totalDebt': None}"
SLNH,2012q3,total_debt (shortLongTermDebtTotal/longTermDebt/totalDebt),"{'shortLongTermDebtTotal': 'None', 'longTermDebt': 'None', 'totalDebt': None}"
SLNH,2012q2,total_debt (shortLongTermDebtTotal/longTermDebt/totalDebt),"{'shortLongTermDebtTotal': 'None', 'longTermDebt': 'None', 'totalDebt': None}"
SLNH,2012q1,total_debt (shortLongTermDebtTotal/longTermDebt/totalDebt),"{'shortLongTermDebtTotal': 'None', 'longTermDebt': 'None', 'totalDebt': None}"
SLNH,2011q4,total_debt (shortLongTermDebtTotal/longTermDebt/totalDebt),"{'shortLongTermDebtTotal': 'None', 'longTermDebt': 'None', 'totalDebt': None}"
SLNH,2011q3,total_debt (shortLongTermDebtTotal/longTermDebt/totalDebt),"{'shortLongTermDebtTotal': 'None', 'longTermDebt': 'None', 'totalDebt': None}"
SLNH,2011q2,total_debt (shortLongTermDebtTotal/longTermDebt/totalDebt),"{'shortLongTermDebtTotal': 'None', 'longTermDebt': 'None', 'totalDebt': None}"
SLNH,2011q1,total_debt (shortLongTermDebtTotal/longTermDebt/totalDebt),"{'shortLongTermDebtTotal': 'None', 'longTermDebt': 'None', 'totalDebt': None}"
SLNH,2010q4,total_debt (shortLongTermDebtTotal/longTermDebt/totalDebt),"{'shortLongTermDebtTotal': 'None', 'longTermDebt': 'None', 'totalDebt': None}"
SLNH,2010q3,total_debt (shortLongTermDebtTotal/longTermDebt/totalDebt),"{'shortLongTermDebtTotal': 'None', 'longTermDebt': 'None', 'totalDebt': None}"
SLNH,2010q2,total_debt (shortLongTermDebtTotal/longTermDebt/totalDebt),"{'shortLongTermDebtTotal': 'None', 'longTermDebt': 'None', 'totalDebt': None}"
SLNH,2010q1,total_debt (shortLongTermDebtTotal/longTermDebt/totalDebt),"{'shortLongTermDebtTotal': 'None', 'longTermDebt': 'None', 'totalDebt': None}"
SLNH,2009q4,total_debt (shortLongTermDebtTotal/longTermDebt/totalDebt),"{'shortLongTermDebtTotal': 'None', 'longTermDebt': 'None', 'totalDebt': None}"
SLNH,2009q1,price_report,MISSING
SLNH,2008q4,price_report,MISSING
SLNH,2008q4,btc_price,MISSING from btc_dict
SLNH,2008q4,hashrate,MISSING from hash_dict
SLNH,2008q3,price_report,MISSING
SLNH,2008q3,btc_price,MISSING from btc_dict
SLNH,2008q3,hashrate,MISSING from hash_dict
SLNH,2008q2,total_debt (shortLongTermDebtTotal/longTermDebt/totalDebt),"{'shortLongTermDebtTotal': 'None', 'longTermDebt': 'None', 'totalDebt': None}"
SLNH,2008q2,price_report,MISSING
SLNH,2008q2,btc_price,MISSING from btc_dict
SLNH,2008q2,hashrate,MISSING from hash_dict
SLNH,2008q1,total_debt (shortLongTermDebtTotal/longTermDebt/totalDebt),"{'shortLongTermDebtTotal': 'None', 'longTermDebt': 'None', 'totalDebt': None}"
SLNH,2008q1,price_report,MISSING
SLNH,2008q1,btc_price,MISSING from btc_dict
SLNH,2008q1,hashrate,MISSING from hash_dict
SLNH,2007q4,total_debt (shortLongTermDebtTotal/longTermDebt/totalDebt),"{'shortLongTermDebtTotal': 'None', 'longTermDebt': 'None', 'totalDebt': None}"
SLNH,2007q4,price_report,MISSING
SLNH,2007q4,btc_price,MISSING from btc_dict
SLNH,2007q4,hashrate,MISSING from hash_dict
SLNH,2007q3,total_debt (shortLongTermDebtTotal/longTermDebt/totalDebt),"{'shortLongTermDebtTotal': 'None', 'longTermDebt': 'None', 'totalDebt': None}"
SLNH,2007q3,price_report,MISSING
SLNH,2007q3,btc_price,MISSING from btc_dict
SLNH,2007q3,hashrate,MISSING from hash_dict
SLNH,2007q2,total_debt (shortLongTermDebtTotal/longTermDebt/totalDebt),"{'shortLongTermDebtTotal': 'None', 'longTermDebt': 'None', 'totalDebt': None}"
SLNH,2007q2,price_report,MISSING
SLNH,2007q2,btc_price,MISSING from btc_dict
SLNH,2007q2,hashrate,MISSING from hash_dict
SLNH,2007q1,total_debt (shortLongTermDebtTotal/longTermDebt/totalDebt),"{'shortLongTermDebtTotal': 'None', 'longTermDebt': 'None', 'totalDebt': None}"
SLNH,2007q1,price_report,MISSING
SLNH,2007q1,btc_price,MISSING from btc_dict
SLNH,2007q1,hashrate,MISSING from hash_dict
SLNH,2006q4,total_debt (shortLongTermDebtTotal/longTermDebt/totalDebt),"{'shortLongTermDebtTotal': 'None', 'longTermDebt': 'None', 'totalDebt': None}"
SLNH,2006q4,price_report,MISSING
SLNH,2006q4,btc_price,MISSING from btc_dict
SLNH,2006q4,hashrate,MISSING from hash_dict
SLNH,2006q3,total_debt (shortLongTermDebtTotal/longTermDebt/totalDebt),"{'shortLongTermDebtTotal': 'None', 'longTermDebt': 'None', 'totalDebt': None}"
SLNH,2006q3,price_report,MISSING
SLNH,2006q3,btc_price,MISSING from btc_dict
SLNH,2006q3,hashrate,MISSING from hash_dict
SLNH,2006q2,total_debt (shortLongTermDebtTotal/longTermDebt/totalDebt),"{'shortLongTermDebtTotal': 'None', 'longTermDebt': 'None', 'totalDebt': None}"
SLNH,2006q2,price_report,MISSING
SLNH,2006q2,btc_price,MISSING from btc_dict
