ticker,fiscal_quarter,fiscal_date,net_income,total_assets,roa,roa_percent,log_assets,total_debt,leverage,cash,liquidity,stock_price,shares_outstanding,market_cap,shareholder_equity,pb_ratio,btc_price,log_btc_price,hashrate,log_hashrate
ABTS,2025q1,2025-03-31,-447848.0,11371297.0,-0.03938407377803957,-3.93840738,16.246602931340604,0.0,0.0,1118929.0,0.09839941741034466,3.01,2369966.0,7133597.659999999,10380951.0,0.6871815173773578,87187.77,11.375819347767221,870857131.0489082,20.584988492716118
ABTS,2024q3,2024-09-30,-447848.0,11371297.0,-0.03938407377803957,-3.93840738,16.246602931340604,0.0,0.0,1118929.0,0.09839941741034466,7.0515,2369966.0,16711815.249,10380951.0,1.6098539766732354,65888.5,11.095719198433983,681164035.1378452,20.339313709025863
ABTS,2024q2,2024-06-30,-6982.0,12202014.0,-0.0005722006219628989,-0.05722006,16.31711157804617,0.0,0.0,396583.0,0.03250143787738647,8.2875,2370312.0,19643960.7,11281314.0,1.7412830367100853,60315.67,11.007347216285627,653044616.4527341,20.297156010255385
ABTS,2024q1,2024-03-31,-6982.0,12202014.0,-0.0005722006219628989,-0.05722006,16.31711157804617,0.0,0.0,396583.0,0.03250143787738647,10.4235,2370312.0,24706947.132000003,11281314.0,2.1900770718730107,70754.69,11.166974103061065,595046224.9834774,20.204149649540128
ABTS,2023q4,2023-12-31,-9082174.0,12318268.0,-0.7372930999715219,-73.72931,16.32659392177115,0.0,0.0,884199.0,0.07177949042836217,17.1015,2369966.0,40529973.549,11312660.0,3.5827094201540577,43470.76,10.679843807151837,433112839.72926086,19.886508851853154
ABTS,2023q3,2023-09-30,-4541087.0,12318268.0,-0.36864654998576096,-36.864655,16.32659392177115,0.0,0.0,884199.0,0.07177949042836217,14.25,2369966.0,33772015.5,11312660.0,2.9853293124693927,26212.82,10.17400388305173,445792739.99081457,19.915364693433087
ABTS,2023q2,2023-06-30,-3503076.0,21001534.0,-0.16680095844427364,-16.68009584,16.860106040638897,0.0,0.0,1538831.0,0.07327231429856505,13.5,2325781.0,31398043.5,20460178.0,1.5345928808634999,30266.7,10.317803377242255,364329624.47866035,19.713569577581897
ABTS,2023q1,2023-03-31,-1751538.0,21001534.0,-0.08340047922213682,-8.34004792,16.860106040638897,0.0,0.0,1538831.0,0.07327231429856505,14.85,2370312.0,35199133.199999996,20460178.0,1.7203727748605118,28033.06,10.24113980694813,328332326.2625294,19.609536843242825
ABTS,2022q4,2022-12-31,-10299020.0,24531417.0,-0.4198298043688222,-41.98298044,17.015465180567094,0.0,0.0,2505286.0,0.10212561304550813,6.768,2192532.0,14839056.576,23917962.0,0.6204147567422341,16539.28,9.713493436795847,247871972.40675086,19.328422930535996
ABTS,2022q3,2022-09-30,-10299020.0,24531417.0,-0.4198298043688222,-41.98298044,17.015465180567094,0.0,0.0,2505286.0,0.10212561304550813,14.175,2192532.0,31079141.1,23917962.0,1.2994059067407164,19104.89,9.857699602209362,234283743.87934902,19.272043519420766
